"","emp_length","state","homeownership","delinq_2y","months_since_last_delinq","earliest_credit_line","inquiries_last_12m","total_credit_lines","open_credit_lines","total_credit_limit","total_credit_utilized","num_collections_last_12m","num_historical_failed_to_pay","months_since_90d_late","current_accounts_delinq","total_collection_amount_ever","current_installment_accounts","accounts_opened_24m","months_since_last_credit_inquiry","num_satisfactory_accounts","num_active_debit_accounts","total_debit_limit","num_total_cc_accounts","num_open_cc_accounts","num_cc_carrying_balance","num_mort_accounts","account_never_delinq_percent","tax_liens","public_record_bankrupt","loan_purpose","application_type","loan_amount","term","interest_rate","installment","grade","sub_grade","issue_month","loan_status","initial_listing_status","disbursement_method","balance","income_final","verification_final","debt_to_income_final"
"24",10,"TX","MORTGAGE",0,0,1997,1,10,4,188450,6103,0,0,0,0,0,1,0,9,4,1,7500,7,2,1,1,90,0,0,"home_improvement","individual",3500,36,6.71,107.61,"A","A3",Mar 2018,"Current","whole","Cash",3323.42,40280,"Verified",7.27
"25",10,"VA","RENT",0,67,1999,1,26,7,65425,69177,0,0,67,0,0,2,3,4,7,2,11500,14,5,5,2,88,0,0,"credit_card","individual",8000,36,7.96,250.55,"A","A5",Mar 2018,"Current","fractional","Cash",7403.61,82000,"Not Verified",17.31
"26",7,"PA","MORTGAGE",0,0,2009,0,20,14,197985,17296,0,0,0,0,142,1,3,0,14,7,22100,16,12,8,1,100,0,0,"debt_consolidation","individual",18000,60,12.61,405.98,"C","C1",Feb 2018,"Current","whole","Cash",17342.65,55000,"Source Verified",14.42
"27",1,"NY","RENT",0,44,2013,7,17,11,41891,26637,0,0,44,0,0,1,11,3,11,3,17700,16,10,4,0,100,0,0,"credit_card","individual",10000,36,11.98,332.05,"B","B5",Mar 2018,"Current","whole","Cash",9432.28,55000,"Source Verified",13.68
"28",5,"IL","RENT",0,0,2013,0,9,8,43876,22920,0,0,0,0,0,5,2,19,8,3,17600,3,3,3,0,100,0,0,"debt_consolidation","individual",3200,36,7.34,99.31,"A","A4",Feb 2018,"Current","whole","Cash",2557.44,33000,"Not Verified",19.38
"29",3,"GA","RENT",0,70,1998,0,13,9,56000,14338,0,0,70,0,0,2,5,0,9,2,36400,9,7,2,1,92.3,0,0,"debt_consolidation","individual",10000,36,5.32,301.15,"A","A1",Jan 2018,"Current","whole","Cash",8704.48,60000,"Not Verified",11
"30",4,"MO","MORTGAGE",0,0,2002,2,26,9,147217,2489,0,0,0,0,0,2,3,0,9,1,25000,18,6,1,2,100,0,0,"house","individual",6000,36,6.07,182.73,"A","A2",Mar 2018,"Current","whole","Cash",5540.54,48000,"Source Verified",2.88
"31",4,"CA","MORTGAGE",0,0,1997,2,36,15,405236,105548,0,0,0,0,0,2,4,0,15,8,62120,26,12,12,4,100,0,0,"debt_consolidation","individual",12000,36,12.62,402.14,"C","C1",Feb 2018,"Current","whole","Cash",10878.71,106000,"Verified",26.25
"32",3,"TX","MORTGAGE",0,68,2002,1,37,20,772243,497876,0,0,68,0,0,13,4,6,20,2,74100,8,6,2,1,100,0,0,"debt_consolidation","individual",40000,60,9.44,838.91,"B","B1",Feb 2018,"Current","whole","Cash",37878.15,245000,"Source Verified",24.9
"33",9,"AR","MORTGAGE",1,3,1982,0,31,20,246210,51523,0,0,0,0,0,2,3,17,20,8,71100,26,17,10,2,90.3,0,0,"credit_card","joint",19000,60,19.03,493.19,"D","D3",Feb 2018,"Current","whole","Cash",18214.02,101000,"Verified",20.92
"34",3,"SC","MORTGAGE",0,35,2004,0,27,14,250359,113927,0,0,0,0,0,2,4,20,14,3,23800,14,11,6,4,96.3,0,0,"debt_consolidation","individual",28000,60,20.39,747.92,"D","D4",Mar 2018,"Current","whole","Cash",27169.59,80000,"Source Verified",28.3
"35",10,"CA","MORTGAGE",0,0,1993,2,21,12,631258,69647,0,0,0,0,0,2,5,0,12,1,58100,13,9,3,2,100,0,0,"debt_consolidation","individual",15000,60,9.93,318.19,"B","B2",Jan 2018,"Fully Paid","whole","Cash",0,140000,"Not Verified",13.82
"36",1,"MD","OWN",0,31,2004,0,13,3,30400,92,0,0,0,0,0,0,0,0,3,0,0,11,3,1,0,92.3,0,0,"small_business","individual",2400,36,6.08,73.1,"A","A2",Jan 2018,"Fully Paid","whole","Cash",0,70000,"Source Verified",0
"37",2,"MD","RENT",0,0,2003,1,9,7,14500,13304,0,0,0,0,0,0,0,6,7,4,11300,8,7,6,0,100,0,0,"debt_consolidation","individual",10000,36,21.45,379.07,"D","D5",Jan 2018,"Current","fractional","Cash",8961.95,45000,"Source Verified",10.59
"38",10,"NJ","MORTGAGE",0,102,1988,2,21,14,363649,29954,0,0,102,0,0,3,4,7,14,3,12900,15,10,7,2,95.2,0,0,"car","joint",24000,60,15.04,571.47,"C","C4",Mar 2018,"In Grace Period","whole","Cash",23455.27,105000,"Verified",13.27
"39",2,"PA","RENT",0,0,2006,2,12,6,55075,34186,0,0,0,0,0,2,3,2,6,1,19600,9,4,2,0,100,0,0,"other","individual",9500,36,10.42,308.42,"B","B3",Jan 2018,"Current","whole","Cash",8350.57,75000,"Not Verified",18.53
"40",2,"CA","RENT",0,0,2009,0,6,4,42499,10466,2,0,0,0,3943,1,1,14,4,1,18800,3,3,2,1,100,0,0,"other","individual",30000,36,12.61,1005.2,"C","C1",Feb 2018,"Current","whole","Cash",27196.39,53592,"Source Verified",7.1
"41",7,"MI","MORTGAGE",0,0,2004,0,12,6,23234,12435,0,1,0,0,154,0,2,13,6,2,3000,8,5,4,1,100,0,1,"other","joint",10000,60,18.06,254.27,"D","D2",Jan 2018,"Current","whole","Cash",9465.3,43000,"Not Verified",17.15
"42",5,"MD","RENT",0,0,2005,8,24,10,77285,51012,0,0,0,0,0,2,4,3,10,2,23900,11,8,3,3,100,0,0,"moving","individual",15000,60,11.99,333.6,"B","B5",Feb 2018,"Current","whole","Cash",14254.01,90000,"Source Verified",15.72
"43",10,"VA","RENT",0,80,1977,0,29,14,74852,44015,0,0,80,0,0,2,5,16,14,3,27700,19,11,6,3,96.6,0,0,"debt_consolidation","individual",35000,60,15.05,833.57,"C","C4",Jan 2018,"Current","whole","Cash",33391.61,77000,"Source Verified",14.82
"44",2,"TX","RENT",0,0,2004,1,11,6,43239,31094,0,0,0,0,0,3,4,1,6,2,8300,7,3,3,0,100,0,0,"credit_card","individual",10000,36,15.05,346.9,"C","C4",Feb 2018,"Current","whole","Cash",9097.26,42000,"Source Verified",25.89
"45",4,"TX","MORTGAGE",0,0,1991,2,15,11,403408,49857,0,0,0,0,667,2,9,8,11,2,34300,7,6,4,2,100,0,0,"home_improvement","individual",40000,60,12.62,902.37,"C","C1",Feb 2018,"Current","whole","Cash",38042.58,130000,"Source Verified",13.51
"46",10,"NC","OWN",0,68,1980,4,30,12,185068,26515,0,1,68,0,0,2,7,0,12,2,16800,21,9,4,3,96.7,0,1,"debt_consolidation","individual",15000,36,6.72,461.24,"A","A3",Jan 2018,"Current","whole","Cash",13092.56,76300,"Not Verified",10.71
"47",2,"FL","MORTGAGE",0,0,2004,0,17,9,175300,18870,0,0,0,0,0,0,4,16,9,4,78300,10,8,5,1,100,0,0,"debt_consolidation","individual",20000,36,6.71,614.9,"A","A3",Mar 2018,"Current","whole","Cash",18991.05,190000,"Not Verified",2.68
"48",0,"TX","RENT",0,0,2008,0,23,7,29311,13527,0,0,0,0,0,2,1,17,7,5,10300,7,5,5,2,100,0,0,"debt_consolidation","individual",4500,36,15.05,156.11,"C","C4",Feb 2018,"Current","whole","Cash",4093.75,41000,"Verified",25.7
"49",2,"NE","RENT",0,0,2012,0,9,7,18000,5542,0,0,0,0,0,0,1,0,7,2,17000,8,7,3,0,100,0,0,"car","individual",16000,60,9.93,339.41,"B","B2",Jan 2018,"Current","whole","Cash",14947.68,30000,"Not Verified",3.64
"50",6,"NC","MORTGAGE",0,61,2004,2,39,25,404236,199983,0,0,0,0,0,18,5,3,25,3,32000,8,6,4,2,97.4,0,0,"credit_card","individual",10000,36,10.42,324.65,"B","B3",Jan 2018,"Current","whole","Cash",9036.27,88000,"Source Verified",17.24
"51",2,"TX","MORTGAGE",0,26,2005,6,21,15,394519,69124,0,0,42,0,0,2,11,1,15,8,40150,12,10,5,2,76,0,0,"debt_consolidation","individual",20000,60,22.91,562.78,"E","E1",Feb 2018,"Current","whole","Cash",19255.22,115000,"Verified",18.72
"52",10,"TX","RENT",0,0,2002,1,37,15,86768,53109,0,0,0,0,0,2,10,4,15,2,33700,21,13,4,0,100,0,0,"debt_consolidation","individual",20600,60,30.79,676.52,"G","G1",Jan 2018,"Current","whole","Cash",19821.53,95731,"Not Verified",19.64
"53",2,"CA","RENT",1,7,2013,0,11,9,74518,34313,0,0,0,0,0,1,2,18,9,3,32300,9,8,4,0,100,0,0,"major_purchase","individual",35000,60,15.05,833.57,"C","C4",Feb 2018,"Current","whole","Cash",33396.01,127000,"Source Verified",9.12
"54",10,"GA","MORTGAGE",0,0,1993,0,27,8,224758,63799,0,0,0,0,0,4,1,0,8,1,23000,8,3,1,3,100,0,0,"debt_consolidation","joint",10000,36,6.07,304.54,"A","A2",Mar 2018,"Current","whole","Cash",9234.27,145000,"Source Verified",22.42
"55",5,"NC","MORTGAGE",0,0,2008,1,21,6,279995,52244,0,0,0,0,0,2,4,9,6,1,14800,10,3,2,3,100,0,0,"debt_consolidation","individual",12000,36,6.07,365.45,"A","A2",Mar 2018,"Current","whole","Cash",11081.12,70000,"Not Verified",21.41
"56",3,"FL","OWN",0,49,1984,0,6,3,130600,4277,0,0,49,0,0,0,0,0,3,1,2300,3,2,2,1,80,0,0,"debt_consolidation","joint",1925,36,17.47,69.09,"D","D1",Mar 2018,"Current","whole","Cash",1842.26,40000,"Source Verified",22.39
"57",8,"NJ","MORTGAGE",0,0,2006,4,39,23,365595,30262,0,0,0,0,391,2,9,0,23,6,49600,31,20,7,1,100,0,0,"house","individual",15000,36,7.34,465.5,"A","A4",Mar 2018,"Current","whole","Cash",13871.88,75000,"Verified",20.16
"58",10,"NV","MORTGAGE",0,0,2007,8,28,24,146435,51162,0,1,0,0,0,3,9,0,24,8,40600,24,21,13,1,100,0,1,"debt_consolidation","individual",20000,36,13.59,679.58,"C","C2",Feb 2018,"Current","whole","Cash",18156.66,73000,"Verified",39.08
"59",3,"NV","MORTGAGE",0,0,2009,2,15,14,368543,24135,0,0,0,0,0,2,9,12,14,5,56300,11,11,5,2,100,0,0,"debt_consolidation","individual",6000,36,6.72,184.5,"A","A3",Jan 2018,"Current","whole","Cash",5391.31,76000,"Not Verified",14.62
"60",10,"CO","RENT",0,0,2005,1,26,24,80444,45181,0,0,0,0,0,2,10,6,24,15,28500,22,22,20,0,100,0,0,"debt_consolidation","individual",10000,36,5.31,301.11,"A","A1",Feb 2018,"Current","whole","DirectPay",8965.72,188000,"Not Verified",11.64
"61",8,"WV","MORTGAGE",0,80,2007,8,27,13,97664,21687,0,1,0,0,0,1,3,10,13,4,25600,21,11,4,2,96.2,0,1,"debt_consolidation","individual",25000,36,9.93,805.86,"B","B2",Jan 2018,"Current","fractional","Cash",21955.1,50000,"Verified",12.15
"62",10,"MD","OWN",0,43,2004,0,22,10,37300,14770,0,0,43,0,0,0,3,0,10,4,17000,14,9,6,2,86.4,0,0,"debt_consolidation","individual",10000,36,9.92,322.3,"B","B2",Mar 2018,"Current","whole","Cash",9275.14,58000,"Source Verified",12.58
"63",1,"VA","RENT",0,0,1990,0,6,6,63600,53168,0,0,0,0,0,1,0,0,6,4,51100,5,5,4,0,100,0,0,"debt_consolidation","individual",6000,36,9.93,193.41,"B","B2",Feb 2018,"Current","fractional","Cash",5417.78,105000,"Not Verified",16.73
"64",10,"VA","MORTGAGE",1,15,2001,1,28,17,451597,88594,0,0,15,0,0,6,8,12,17,2,33000,14,10,8,5,96.4,0,0,"credit_card","individual",20000,60,14.07,466.1,"C","C3",Mar 2018,"Current","whole","Cash",19297.02,114000,"Verified",28.13
"65",10,"CA","MORTGAGE",0,0,1992,1,22,8,96633,43253,0,0,0,0,0,2,6,2,8,4,54000,18,6,4,0,100,0,0,"medical","individual",15000,36,7.97,469.84,"A","A5",Feb 2018,"Current","whole","Cash",13504.32,150000,"Source Verified",7.89
"66",0,"PA","MORTGAGE",0,75,2003,0,37,8,291176,33890,0,0,0,0,0,2,3,14,8,2,57700,23,5,3,2,94.3,0,0,"debt_consolidation","individual",20000,36,5.31,602.21,"A","A1",Mar 2018,"Current","fractional","Cash",18452.04,69000,"Not Verified",15.42
"67",10,"FL","MORTGAGE",0,27,2005,1,27,23,69244,23425,0,0,38,0,0,1,4,10,21,5,16850,23,20,15,0,93,0,0,"debt_consolidation","individual",10500,60,9.93,222.74,"B","B2",Feb 2018,"Current","whole","Cash",9949.81,30000,"Not Verified",32.4
"68",5,"IL","MORTGAGE",0,0,2002,2,16,13,47882,36724,0,1,0,0,295,2,8,5,13,6,12300,13,11,8,1,100,0,1,"credit_card","individual",11400,60,14.08,265.74,"C","C3",Jan 2018,"Current","whole","Cash",10862.71,60000,"Source Verified",17.28
"69",5,"NH","MORTGAGE",0,0,1999,0,15,9,384554,63783,0,0,0,0,0,3,1,16,9,5,66400,7,5,5,3,100,0,0,"car","individual",5500,36,12.61,184.29,"C","C1",Mar 2018,"Current","fractional","Cash",5116.52,74000,"Not Verified",32.06
"70",0,"UT","RENT",1,14,1972,1,6,4,1900,807,0,0,0,0,0,0,2,1,4,2,1200,6,4,3,0,66.7,0,0,"debt_consolidation","individual",5000,36,12.62,167.56,"C","C1",Jan 2018,"Current","fractional","Cash",4412.9,25000,"Source Verified",3.7
"71",10,"DE","OWN",0,34,1998,6,13,6,30649,24714,0,0,34,0,0,3,7,1,6,2,2500,4,3,3,3,76.9,0,0,"other","individual",9600,36,17.47,344.52,"D","D1",Mar 2018,"Current","whole","Cash",8976.73,32000,"Source Verified",22.09
"72",0,"MA","RENT",0,56,2009,2,32,21,43430,14955,0,0,60,0,0,1,11,9,21,8,22000,24,20,10,0,100,0,0,"other","individual",15000,36,12.62,502.67,"C","C1",Jan 2018,"Current","fractional","Cash",13238.74,31000,"Source Verified",16.26
"73",3,"NJ","RENT",0,0,2010,0,5,5,49500,19719,0,0,0,0,0,1,1,15,5,2,25000,4,4,2,0,100,0,0,"debt_consolidation","individual",10000,36,6.71,307.45,"A","A3",Mar 2018,"Current","whole","Cash",9241.17,64000,"Source Verified",8.72
"74",3,"KY","RENT",0,0,2011,1,11,11,54966,42068,0,0,0,0,0,9,3,1,11,1,10000,2,2,1,0,100,0,0,"major_purchase","individual",10450,60,19.42,273.5,"D","D3",Mar 2018,"Current","whole","Cash",9609.03,24000,"Source Verified",16.3
"75",2,"NC","MORTGAGE",0,0,2012,3,23,16,188426,59514,0,0,0,0,0,5,8,1,16,2,14800,11,10,2,1,100,0,0,"credit_card","individual",7200,36,12.62,241.29,"C","C1",Feb 2018,"Current","whole","Cash",6527.2,77000,"Source Verified",16.04
"76",10,"FL","MORTGAGE",0,0,2001,0,15,8,190216,24861,0,0,0,0,0,1,0,0,8,4,20300,7,6,6,4,100,0,0,"debt_consolidation","joint",35000,60,14.08,815.85,"C","C3",Jan 2018,"Current","whole","Cash",32925.97,81065,"Not Verified",25.59
"77",3,"OR","RENT",0,0,2010,1,11,6,13450,4212,0,0,0,0,0,1,6,6,6,3,2700,10,5,4,0,100,0,0,"debt_consolidation","individual",4200,36,10.91,137.33,"B","B4",Jan 2018,"Current","fractional","Cash",3695.17,13930,"Verified",21.94
"78",0,"OH","RENT",0,0,2007,3,23,14,69357,68594,0,0,0,0,0,9,2,6,14,3,10600,4,4,4,0,100,0,0,"other","individual",2400,36,17.47,86.13,"D","D1",Feb 2018,"Current","whole","Cash",2244.18,60000,"Verified",19.22
"79",9,"TX","MORTGAGE",0,0,1992,1,32,11,42639,36441,0,0,0,0,0,2,7,5,11,8,22300,17,9,9,1,100,0,0,"credit_card","individual",12800,36,18.06,463.14,"D","D2",Jan 2018,"Current","whole","Cash",11693.32,41787,"Verified",37.74
"80",4,"CA","MORTGAGE",0,0,2005,2,31,18,215675,13559,0,1,0,0,0,2,13,9,18,5,20700,21,15,6,2,100,0,1,"other","joint",8000,36,16.02,281.34,"C","C5",Jan 2018,"Current","fractional","Cash",7103.69,1e+05,"Verified",16.37
"81",0,"OK","MORTGAGE",0,37,2001,3,11,7,174300,31663,0,0,0,0,542,3,4,1,7,2,12400,5,3,3,1,90,0,0,"debt_consolidation","individual",30000,36,19.03,1100.14,"D","D3",Feb 2018,"Current","fractional","Cash",27442.4,77000,"Verified",18.39
"82",1,"PA","MORTGAGE",0,36,2001,7,21,13,158659,65964,0,1,0,0,0,5,8,0,13,2,7900,8,7,4,1,95.2,0,1,"debt_consolidation","individual",7000,36,12.62,234.58,"C","C1",Jan 2018,"Current","fractional","Cash",6178.08,72000,"Source Verified",27.23
"83",8,"TX","MORTGAGE",0,0,2000,2,24,8,103527,70510,0,0,0,0,0,2,5,12,8,3,43500,9,6,4,2,100,0,0,"other","individual",25000,36,6.07,761.35,"A","A2",Feb 2018,"Current","whole","Cash",22441.1,165000,"Source Verified",11.14
"84",10,"FL","MORTGAGE",0,0,1984,3,30,15,45100,860,0,0,0,0,0,0,8,0,15,3,35600,21,15,3,2,100,0,0,"home_improvement","individual",40000,60,9.43,838.71,"B","B1",Mar 2018,"Current","whole","Cash",37877.63,43000,"Source Verified",1.56
"85",10,"VA","MORTGAGE",0,0,1999,1,32,10,524622,87687,0,0,0,0,0,2,3,12,10,3,63500,14,7,3,4,100,0,0,"debt_consolidation","individual",24000,60,10.42,514.91,"B","B3",Jan 2018,"Current","whole","Cash",22440.6,90000,"Verified",17.44
"86",10,"SD","OWN",0,0,1975,2,40,10,73740,14461,0,1,0,0,0,1,6,3,10,5,29600,23,9,8,0,100,0,1,"debt_consolidation","individual",5000,36,7.96,156.59,"A","A5",Mar 2018,"Current","whole","Cash",4627.27,95000,"Not Verified",11.45
"87",10,"MO","MORTGAGE",0,48,2001,5,44,18,476029,121076,0,0,0,0,0,3,9,2,18,4,170900,27,13,6,4,97.7,0,0,"small_business","individual",40000,60,13.59,922.25,"C","C2",Jan 2018,"Current","whole","Cash",37600,152000,"Not Verified",21.09
"88",2,"IL","MORTGAGE",0,0,2006,1,35,14,241110,159851,0,0,0,0,0,6,8,2,14,3,26700,8,7,5,1,100,0,0,"credit_card","individual",15000,60,15.04,357.17,"C","C4",Mar 2018,"Current","whole","Cash",14486.1,49500,"Source Verified",34.86
"89",5,"TX","OWN",0,36,2004,1,21,15,37596,18294,0,0,36,0,1176,7,9,12,15,3,11800,13,8,6,0,76.2,0,0,"home_improvement","individual",5000,36,12.61,167.54,"C","C1",Mar 2018,"Current","whole","Cash",4651.37,32000,"Source Verified",13.77
"90",8,"FL","RENT",0,58,1996,3,21,15,48354,40982,0,1,58,0,1358,8,3,4,15,5,11900,8,7,6,1,68.4,0,1,"credit_card","individual",7000,36,7.96,219.23,"A","A5",Mar 2018,"Current","whole","DirectPay",6478.16,78000,"Source Verified",9.61
"91",2,"AZ","RENT",0,0,2004,4,23,9,86360,47451,0,0,0,0,8003,4,3,2,9,1,24500,11,5,1,1,100,0,0,"debt_consolidation","individual",17450,60,13.58,402.25,"C","C2",Mar 2018,"Current","whole","Cash",16828.69,52000,"Source Verified",24.39
"92",10,"NY","MORTGAGE",0,56,2005,6,11,8,386381,23551,0,0,0,0,0,1,6,1,8,5,20500,6,6,6,1,81.8,0,0,"debt_consolidation","individual",30000,60,16.01,729.71,"C","C5",Mar 2018,"Current","whole","Cash",29336.68,147000,"Source Verified",5.16
"93",10,"NJ","OWN",0,0,1983,1,40,14,454500,177350,0,0,0,0,0,1,5,6,14,7,77500,23,12,11,3,100,0,0,"debt_consolidation","individual",15000,36,22.91,579.95,"E","E1",Feb 2018,"Current","fractional","Cash",13791.64,140000,"Verified",28.53
"94",5,"IL","RENT",0,0,2002,8,39,28,128476,16061,0,0,0,0,0,1,7,1,28,9,60000,32,27,14,1,100,0,0,"debt_consolidation","individual",20000,36,7.97,626.46,"A","A5",Jan 2018,"Current","whole","Cash",17499.09,50000,"Not Verified",20.74
"95",0,"MN","RENT",4,19,2000,3,22,16,26500,10994,0,1,19,0,0,0,4,2,16,4,7600,22,16,13,0,85.7,0,1,"debt_consolidation","individual",15000,60,18.06,381.4,"D","D2",Jan 2018,"Current","whole","Cash",14197.97,55000,"Not Verified",12.22
"96",3,"TX","MORTGAGE",0,0,2000,0,15,10,619105,84019,0,0,0,0,0,2,5,18,10,3,62000,9,6,5,2,100,0,0,"debt_consolidation","individual",12000,36,6.08,365.5,"A","A2",Jan 2018,"Current","whole","Cash",10771.9,190000,"Not Verified",15.84
